음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000012003,02-0000084496,180,(주)신흥트래픽,-,2,1,001,16731,1  ,127.06728931551459,37.64420993312006
24-0000003130,02-0000085386,180,(주)신흥트래픽,-,2,1,001,7035,1  ,127.03968998030253,37.656581896132444
24-0000017092,02-0000156539,-,휴먼케어,-,2,1,001,21820,-,126.91520307889586,37.55577289110663
24-0000016465,02-0000082859,-,(주)신흥트래픽,-,2,1,001,21193,-,127.06024726648269,37.632231427523635
24-0000008667,02-0000103355,45 ,(주)신흥트래픽,0,2,1,001,8504,1  ,127.06123685786551,37.66495338234131
24-0000009767,02-0000178263,180,(주)신흥트래픽,-,2,1,001,14495,1  ,127.06951451808449,37.64901429910046
24-0000015162,02-0000199481,-,대한신호,-,2,1,001,19890,-,127.08419516765743,37.534578444392736
24-0000014372,02-0000111621,180,대한신호㈜,-,2,1,001,19100,1  ,127.07069580641206,37.53966820722601
24-0000015442,02-0000102360,-,대한신호,-,2,1,001,20170,-,127.02732420978923,37.61246252369468
24-0000015441,02-0000200383,-,대한신호,-,2,1,001,20169,-,127.02708458115157,37.61247630538159
24-0000015334,02-0000182806,-,대한신호㈜,-,2,1,001,20062,-,126.91270043279842,37.55181556105335
24-0000011162,02-0000178470,0  ,대한신호,-,2,1,001,15890,1  ,126.94371891258449,37.55004402117864
24-0000015332,02-0000182805,-,대한신호㈜,-,2,1,001,20060,-,126.91233341372443,37.551938898201335
24-0000001939,02-0000006428,180,대한신호,-,2,1,001,711,1  ,126.9329051176218,37.55104750696471
24-0000007052,02-0000167354,180,대한신호,0,2,1,001,12736,1  ,126.9266447201355,37.55896683884081
24-0000001516,02-0000105424,180,휴먼케어,-,2,1,001,8747,1  ,126.91105576058048,37.609241758051056
24-0000015325,02-0000134081,-,대한신호㈜,-,2,1,001,20053,-,126.88467995696303,37.58486248175136
24-0000015324,02-0000134083,-,대한신호㈜,-,2,1,001,20052,-,126.88447172628902,37.584712075114695
24-0000015323,02-0000166806,-,대한신호㈜,-,2,1,001,20051,-,126.89044228958595,37.581993818541676
24-0000015322,02-0000166807,-,대한신호㈜,-,2,1,001,20050,-,126.89046078901384,37.58218513915875
24-0000015321,02-0000166803,-,대한신호㈜,-,2,1,001,20049,-,126.88999976554368,37.58219566109914
24-0000015320,02-0000166802,-,대한신호㈜,-,2,1,001,20048,-,126.89015074165134,37.58233255376224
24-0000011602,02-0000181176,0  ,신흥트래픽㈜,-,2,1,001,16330,1  ,126.90720299116745,37.56392266964675
24-0000015318,02-0000166809,-,대한신호㈜,-,2,1,001,20046,-,126.8931936268913,37.58033491486468
24-0000015317,02-0000166808,-,대한신호㈜,-,2,1,001,20045,-,126.89325304378833,37.5805463641899
24-0000015316,02-0000166812,-,대한신호㈜,-,2,1,001,20044,-,126.89275519496675,37.58064654264041
24-0000015315,02-0000166813,-,대한신호㈜,-,2,1,001,20043,-,126.8929070291532,37.58078689999995
24-0000015314,02-0000166832,-,대한신호㈜,-,2,1,001,20042,-,126.89483267070707,37.57928620590867
24-0000015313,02-0000166831,-,대한신호㈜,-,2,1,001,20041,-,126.89486625441171,37.57944166994837
24-0000007385,02-0000095554,180,휴먼케어,0,2,1,001,7851,1  ,126.92736144684676,37.601412113102285
24-0000015311,02-0000166818,-,대한신호㈜,-,2,1,001,20039,-,126.89674491819191,37.57817957545654
24-0000015310,02-0000166822,-,대한신호㈜,-,2,1,001,20038,-,126.89782869387814,37.57724492251571
24-0000015309,02-0000166823,-,대한신호㈜,-,2,1,001,20037,-,126.89788509624927,37.57739194595309
24-0000015308,02-0000118241,-,대한신호㈜,-,2,1,001,20036,-,126.8995863665532,37.57608528032502
24-0000015307,02-0000166824,-,대한신호㈜,-,2,1,001,20035,-,126.89964643674287,37.5762779396233
24-0000015306,02-0000166827,-,대한신호㈜,-,2,1,001,20034,-,126.89945923371214,37.57636764390479
24-0000015305,02-0000166828,-,대한신호㈜,-,2,1,001,20033,-,126.89925276802757,37.57629647630501
24-0000003381,02-0000004107,180,신흥트래픽㈜,-,2,1,001,429,1  ,126.91609367713095,37.56039083306279
24-0000005238,02-0000117554,180,휴먼케어,-,2,1,001,9696,1  ,126.90451029291312,37.562089438595045
24-0000009986,02-0000178637,180,휴먼케어,-,2,1,001,14714,1  ,126.91604506603366,37.5602107035364
24-0000009815,02-0000193897,180,신흥트래픽㈜,-,2,1,001,14543,1  ,126.95238828602483,37.54320733330872
24-0000015304,02-0000007235,-,신흥트래픽㈜,-,2,1,001,20032,-,126.92200853929421,37.5569423904053
24-0000015303,02-0000180288,-,신흥트래픽㈜,-,2,1,001,20031,-,126.92191176562203,37.557029011200534
24-0000009907,02-0000161193,180,신흥트래픽㈜,-,2,1,001,14635,1  ,126.92146139168243,37.55542993932142
24-0000015298,02-0000161151,-,신흥트래픽㈜,-,2,1,001,20026,-,126.9133827905287,37.549433580419105
24-0000015145,02-0000164627,-,대한신호,-,2,1,001,19873,-,126.96902289800566,37.568427248965186
24-0000003541,02-0000001731,180,신흥IND,-,2,1,001,153,1  ,126.9309529825771,37.567035332033534
24-0000015960,02-0000200717,-,대한신호㈜,-,2,1,001,20688,-,126.87649507334346,37.48630113898396
24-0000015959,02-0000201847,-,대한신호㈜,-,2,1,001,20687,-,126.8766264244233,37.48626129400244
24-0000008381,02-0000063080,180,㈜한길에이치씨,0,2,1,001,5356,1  ,126.83746707273214,37.521067362109804
24-0000016129,02-0000202772,-,(주)대한신호,-,2,1,001,20857,-,127.09736135519145,37.51648805502175
24-0000016128,02-0000202771,-,(주)대한신호,-,2,1,001,20856,-,127.09736261755353,37.51639274659483
24-0000016120,02-0000197880,-,(주)대한신호,-,2,1,001,20848,-,127.1165916786216,37.54149623984877
24-0000016065,02-0000143783,-,대한신호,-,2,1,001,20793,-,127.02419067842243,37.564116793281514
24-0000016064,02-0000143792,-,대한신호,-,2,1,001,20792,-,127.0243456507718,37.564265425813865
24-0000014009,02-0000196389,180,한길에이치씨,-,2,1,001,18737,1  ,126.81897768012291,37.56636376754784
24-0000014002,02-0000196384,180,한길에이치씨,-,2,1,001,18730,1  ,126.81902899924702,37.566514889061686
24-0000014008,02-0000201275,180,한길에이치씨,-,2,1,001,18736,1  ,126.81894276920264,37.56646563905052
24-0000014003,02-0000196385,180,한길에이치씨,-,2,1,001,18731,1  ,126.81921849645694,37.5665545979063
24-0000014004,02-0000196383,180,한길에이치씨,-,2,1,001,18732,1  ,126.81924058758345,37.566497928119105
24-0000014005,02-0000196388,180,한길에이치씨,-,2,1,001,18733,1  ,126.81922251544988,37.56636500371455
24-0000014006,02-0000196386,180,한길에이치씨,-,2,1,001,18734,1  ,126.81920495550344,37.566313484706235
24-0000014007,02-0000196387,180,한길에이치씨,-,2,1,001,18735,1  ,126.81902091289997,37.56629124550222
24-0000016179,02-0000017797,-,대한신호,-,2,1,001,20907,-,127.01021824982111,37.48718197902464
24-0000016178,02-0000017799,-,대한신호,-,2,1,001,20906,-,127.01039215833693,37.48702300564194
24-0000016176,02-0000017798,-,대한신호,-,2,1,001,20904,-,127.01029394343229,37.48688081601563
24-0000016175,02-0000098073,-,대한신호,-,2,1,001,20903,-,127.00992842122166,37.4868608144937
24-0000016173,02-0000202903,-,대한신호,-,2,1,001,20901,-,127.02607088403234,37.46203948449504
24-0000016172,02-0000202902,-,대한신호,-,2,1,001,20900,-,127.02590199213589,37.461895359727635
24-0000016171,02-0000202901,-,대한신호,-,2,1,001,20899,-,127.026034794619,37.46186548452463
24-0000016170,02-0000202900,-,대한신호,-,2,1,001,20898,-,127.02619874468056,37.46201862031769
24-0000016044,02-0000202252,-,대한신호,-,2,1,001,20772,-,126.95988386564265,37.50969145412228
24-0000016043,02-0000202251,-,대한신호,-,2,1,001,20771,-,126.95989239094256,37.509612055987596
24-0000016042,02-0000202250,-,대한신호,-,2,1,001,20770,-,126.95998360456619,37.509568162948995
24-0000016040,02-0000202248,-,대한신호,-,2,1,001,20768,-,126.96022036711409,37.50966059589132
24-0000016039,02-0000202247,-,대한신호,-,2,1,001,20767,-,126.96018780809321,37.50973885969661
24-0000016038,02-0000202246,-,대한신호,-,2,1,001,20766,-,126.96005699645565,37.50980413836675
24-0000016037,02-0000202245,-,대한신호,-,2,1,001,20765,-,126.95997926785869,37.50974667301566
24-0000016035,02-0000202243,-,대한신호,-,2,1,001,20763,-,126.96156070706316,37.508852572648486
24-0000013063,02-0000177880,180,에드온스마트,-,2,1,001,17791,1  ,127.06062819720518,37.49895735819128
24-0000018304,02-0000218565,-,에드온스마트,-,2,1,001,23032,-,127.0438448661774,37.51751034432204
24-0000001575,02-0000003556,180,신흥IND,-,2,1,001,319,1  ,126.90960976285568,37.57801161776754
24-0000001576,02-0000003557,180,신흥IND,-,2,1,001,320,1  ,126.90953835700694,37.57796128567927
24-0000018303,02-0000147593,-,에드온스마트,-,2,1,001,23031,-,127.04373244399943,37.517487860916106
24-0000008184,02-0000005692,180,신흥트래픽㈜,-,2,1,001,652,1  ,126.89366020780076,37.576246126868
24-0000008767,02-0000011536,270,대한신호㈜,0,2,1,001,1242,1  ,126.9217202391755,37.60747582796907
24-0000008768,02-0000105431,45 ,대한신호㈜,0,2,1,001,8752,1  ,126.9218574978351,37.60765196659273
24-0000011729,02-0000003694,180,대한신호㈜,-,2,1,001,16457,1  ,126.92069686308506,37.60861690895179
24-0000011730,02-0000095639,180,대한신호㈜,-,2,1,001,16458,1  ,126.92060815152554,37.60859975763394
24-0000011731,02-0000011544,180,대한신호㈜,-,2,1,001,16459,1  ,126.92054349396116,37.60876377103434
24-0000011732,02-0000011545,180,대한신호㈜,-,2,1,001,16460,1  ,126.9204782487909,37.60890966562774
24-0000011725,02-0000011549,180,대한신호㈜,-,2,1,001,16453,1  ,126.9205955289953,37.609120925073334
24-0000011726,02-0000011548,180,대한신호,-,2,1,001,16454,1  ,126.92068977581677,37.60905637641526
24-0000011727,02-0000011547,180,대한신호㈜,-,2,1,001,16455,1  ,126.92083639700688,37.608971768520284
24-0000015154,02-0000169394,-,신흥트래픽㈜,-,2,1,001,19882,-,126.88531687991328,37.58602377154798
24-0000009245,02-0000008535,180,신흥IND,-,2,1,001,13973,1  ,126.90814265206254,37.58232173609637
24-0000001925,02-0000007626,180,신흥트래픽㈜,-,2,1,001,801,1  ,126.91746041991243,37.61157113000288
